index,DatetimeEnd,Concentration,year,month,day,hour,season
238,2019-01-11 02:00:00+01:00,28.5,2019,1,11,2,winter
239,2019-01-11 03:00:00+01:00,23.5,2019,1,11,3,winter
240,2019-01-11 04:00:00+01:00,25.0,2019,1,11,4,winter
241,2019-01-11 05:00:00+01:00,24.0,2019,1,11,5,winter
242,2019-01-11 06:00:00+01:00,28.5,2019,1,11,6,winter
243,2019-01-11 07:00:00+01:00,43.5,2019,1,11,7,winter
244,2019-01-11 08:00:00+01:00,49.5,2019,1,11,8,winter
245,2019-01-11 09:00:00+01:00,51.0,2019,1,11,9,winter
246,2019-01-11 10:00:00+01:00,57.0,2019,1,11,10,winter
247,2019-01-11 11:00:00+01:00,64.5,2019,1,11,11,winter
248,2019-01-11 12:00:00+01:00,68.5,2019,1,11,12,winter
249,2019-01-11 13:00:00+01:00,53.0,2019,1,11,13,winter
250,2019-01-11 14:00:00+01:00,47.0,2019,1,11,14,winter
251,2019-01-11 15:00:00+01:00,38.0,2019,1,11,15,winter
252,2019-01-11 16:00:00+01:00,54.5,2019,1,11,16,winter
253,2019-01-11 17:00:00+01:00,58.5,2019,1,11,17,winter
254,2019-01-11 18:00:00+01:00,47.5,2019,1,11,18,winter
255,2019-01-11 19:00:00+01:00,50.0,2019,1,11,19,winter
256,2019-01-11 20:00:00+01:00,52.0,2019,1,11,20,winter
257,2019-01-11 21:00:00+01:00,47.5,2019,1,11,21,winter
258,2019-01-11 22:00:00+01:00,55.5,2019,1,11,22,winter
259,2019-01-11 23:00:00+01:00,49.5,2019,1,11,23,winter
260,2019-01-12 00:00:00+01:00,39.0,2019,1,12,0,winter
261,2019-01-12 01:00:00+01:00,39.0,2019,1,12,1,winter
262,2019-01-12 02:00:00+01:00,31.0,2019,1,12,2,winter
263,2019-01-12 03:00:00+01:00,37.5,2019,1,12,3,winter
264,2019-01-12 04:00:00+01:00,31.5,2019,1,12,4,winter
265,2019-01-12 05:00:00+01:00,29.5,2019,1,12,5,winter
266,2019-01-12 06:00:00+01:00,30.5,2019,1,12,6,winter
267,2019-01-12 07:00:00+01:00,33.5,2019,1,12,7,winter
268,2019-01-12 08:00:00+01:00,32.5,2019,1,12,8,winter
269,2019-01-12 09:00:00+01:00,30.0,2019,1,12,9,winter
270,2019-01-12 10:00:00+01:00,30.5,2019,1,12,10,winter
271,2019-01-12 11:00:00+01:00,33.0,2019,1,12,11,winter
272,2019-01-12 12:00:00+01:00,32.5,2019,1,12,12,winter
273,2019-01-12 13:00:00+01:00,31.0,2019,1,12,13,winter
274,2019-01-12 14:00:00+01:00,31.5,2019,1,12,14,winter
275,2019-01-12 15:00:00+01:00,33.0,2019,1,12,15,winter
276,2019-01-12 16:00:00+01:00,34.5,2019,1,12,16,winter
277,2019-01-12 17:00:00+01:00,36.0,2019,1,12,17,winter
278,2019-01-12 18:00:00+01:00,36.0,2019,1,12,18,winter
279,2019-01-12 19:00:00+01:00,37.0,2019,1,12,19,winter
280,2019-01-12 20:00:00+01:00,35.0,2019,1,12,20,winter
281,2019-01-12 21:00:00+01:00,33.0,2019,1,12,21,winter
282,2019-01-12 22:00:00+01:00,33.0,2019,1,12,22,winter
283,2019-01-12 23:00:00+01:00,27.0,2019,1,12,23,winter
284,2019-01-13 00:00:00+01:00,25.0,2019,1,13,0,winter
285,2019-01-13 01:00:00+01:00,29.0,2019,1,13,1,winter
286,2019-01-13 02:00:00+01:00,22.0,2019,1,13,2,winter
287,2019-01-13 03:00:00+01:00,18.5,2019,1,13,3,winter
288,2019-01-13 04:00:00+01:00,19.5,2019,1,13,4,winter
289,2019-01-13 05:00:00+01:00,16.5,2019,1,13,5,winter
290,2019-01-13 06:00:00+01:00,17.0,2019,1,13,6,winter
291,2019-01-13 07:00:00+01:00,15.0,2019,1,13,7,winter
292,2019-01-13 08:00:00+01:00,16.5,2019,1,13,8,winter
293,2019-01-13 09:00:00+01:00,20.0,2019,1,13,9,winter
294,2019-01-13 10:00:00+01:00,23.0,2019,1,13,10,winter
295,2019-01-13 11:00:00+01:00,23.0,2019,1,13,11,winter
296,2019-01-13 12:00:00+01:00,24.0,2019,1,13,12,winter
297,2019-01-13 13:00:00+01:00,24.0,2019,1,13,13,winter
298,2019-01-13 14:00:00+01:00,27.0,2019,1,13,14,winter
299,2019-01-13 15:00:00+01:00,20.0,2019,1,13,15,winter
300,2019-01-13 16:00:00+01:00,22.0,2019,1,13,16,winter
301,2019-01-13 17:00:00+01:00,22.5,2019,1,13,17,winter
302,2019-01-13 18:00:00+01:00,23.5,2019,1,13,18,winter
303,2019-01-13 19:00:00+01:00,23.5,2019,1,13,19,winter
304,2019-01-13 20:00:00+01:00,22.5,2019,1,13,20,winter
305,2019-01-13 21:00:00+01:00,20.0,2019,1,13,21,winter
306,2019-01-13 22:00:00+01:00,17.0,2019,1,13,22,winter
307,2019-01-13 23:00:00+01:00,19.5,2019,1,13,23,winter
308,2019-01-14 00:00:00+01:00,14.0,2019,1,14,0,winter
309,2019-01-14 01:00:00+01:00,10.0,2019,1,14,1,winter
310,2019-01-14 02:00:00+01:00,9.0,2019,1,14,2,winter
311,2019-01-14 03:00:00+01:00,6.5,2019,1,14,3,winter
312,2019-01-14 04:00:00+01:00,7.5,2019,1,14,4,winter
313,2019-01-14 05:00:00+01:00,10.0,2019,1,14,5,winter
314,2019-01-14 06:00:00+01:00,15.5,2019,1,14,6,winter
315,2019-01-14 07:00:00+01:00,25.0,2019,1,14,7,winter
316,2019-01-14 08:00:00+01:00,51.5,2019,1,14,8,winter
317,2019-01-14 09:00:00+01:00,53.5,2019,1,14,9,winter
318,2019-01-14 10:00:00+01:00,48.5,2019,1,14,10,winter
319,2019-01-14 11:00:00+01:00,43.5,2019,1,14,11,winter
320,2019-01-14 12:00:00+01:00,40.0,2019,1,14,12,winter
321,2019-01-14 13:00:00+01:00,39.5,2019,1,14,13,winter
322,2019-01-14 14:00:00+01:00,34.5,2019,1,14,14,winter
323,2019-01-14 15:00:00+01:00,28.0,2019,1,14,15,winter
324,2019-01-14 16:00:00+01:00,33.0,2019,1,14,16,winter
325,2019-01-14 17:00:00+01:00,46.0,2019,1,14,17,winter
326,2019-01-14 18:00:00+01:00,62.0,2019,1,14,18,winter
327,2019-01-14 19:00:00+01:00,71.0,2019,1,14,19,winter
328,2019-01-14 20:00:00+01:00,74.5,2019,1,14,20,winter
329,2019-01-14 21:00:00+01:00,65.5,2019,1,14,21,winter
330,2019-01-14 22:00:00+01:00,57.5,2019,1,14,22,winter
331,2019-01-14 23:00:00+01:00,46.0,2019,1,14,23,winter
332,2019-01-15 00:00:00+01:00,42.5,2019,1,15,0,winter
333,2019-01-15 01:00:00+01:00,34.0,2019,1,15,1,winter
334,2019-01-15 02:00:00+01:00,32.0,2019,1,15,2,winter
335,2019-01-15 03:00:00+01:00,34.0,2019,1,15,3,winter
336,2019-01-15 04:00:00+01:00,33.0,2019,1,15,4,winter
337,2019-01-15 05:00:00+01:00,35.0,2019,1,15,5,winter
338,2019-01-15 06:00:00+01:00,37.0,2019,1,15,6,winter
339,2019-01-15 07:00:00+01:00,43.0,2019,1,15,7,winter
340,2019-01-15 08:00:00+01:00,49.5,2019,1,15,8,winter
341,2019-01-15 09:00:00+01:00,53.0,2019,1,15,9,winter
342,2019-01-15 10:00:00+01:00,42.0,2019,1,15,10,winter
343,2019-01-15 11:00:00+01:00,49.5,2019,1,15,11,winter
344,2019-01-15 12:00:00+01:00,41.0,2019,1,15,12,winter
345,2019-01-15 13:00:00+01:00,34.5,2019,1,15,13,winter
346,2019-01-15 14:00:00+01:00,39.0,2019,1,15,14,winter
347,2019-01-15 15:00:00+01:00,44.0,2019,1,15,15,winter
348,2019-01-15 16:00:00+01:00,45.0,2019,1,15,16,winter
349,2019-01-15 17:00:00+01:00,50.0,2019,1,15,17,winter
350,2019-01-15 18:00:00+01:00,42.5,2019,1,15,18,winter
351,2019-01-15 19:00:00+01:00,40.5,2019,1,15,19,winter
352,2019-01-15 20:00:00+01:00,35.5,2019,1,15,20,winter
353,2019-01-15 21:00:00+01:00,33.0,2019,1,15,21,winter
354,2019-01-15 22:00:00+01:00,26.5,2019,1,15,22,winter
355,2019-01-15 23:00:00+01:00,22.5,2019,1,15,23,winter
356,2019-01-16 00:00:00+01:00,19.0,2019,1,16,0,winter
357,2019-01-16 01:00:00+01:00,13.5,2019,1,16,1,winter
358,2019-01-16 02:00:00+01:00,11.5,2019,1,16,2,winter
